time,open,high,low,close,volume
2020-11-16 11:00:00.000,16384.59,16390,16235,16235.68,3811.221023
2020-11-16 12:00:00.000,16235.67,16318.94,16235.2,16306,2433.001507
2020-11-16 13:00:00.000,16305.88,16374.97,16291.68,16322.83,2815.986271
2020-11-16 14:00:00.000,16322.84,16445,16322.83,16401.52,4394.158026
2020-11-16 15:00:00.000,16401.52,16469,16320,16450,3485.355091
2020-11-16 16:00:00.000,16450,16650,16434.89,16566.52,9429.65217
2020-11-16 17:00:00.000,16566.6,16765,16566.59,16691.91,5468.194833
2020-11-16 18:00:00.000,16691.92,16750,16627.16,16690.85,3468.295116
2020-11-16 19:00:00.000,16690.86,16847.8,16660,16779.01,4955.846342
2020-11-16 20:00:00.000,16778.93,16843,16755,16825.56,2966.870354
2020-11-16 21:00:00.000,16825.57,16880,16578,16695.41,5040.366608
2020-11-16 22:00:00.000,16695.41,16768.79,16650,16713.86,2196.652372
2020-11-16 23:00:00.000,16713.87,16790,16690,16713.57,2209.822223
2020-11-17 00:00:00.000,16713.08,16830,16683.63,16806.09,2719.706433
2020-11-17 01:00:00.000,16806.09,16806.93,16666.4,16690.21,2460.719558
2020-11-17 02:00:00.000,16690.21,16737.88,16625.24,16678.02,2217.553653
2020-11-17 03:00:00.000,16678.03,16705.85,16570,16573.58,2247.520113
2020-11-17 04:00:00.000,16573.57,16676.47,16538,16668.95,2292.828167
2020-11-17 05:00:00.000,16668.95,16700,16600.99,16619.81,2001.124092
2020-11-17 06:00:00.000,16620.6,16675.56,16578.45,16631.72,1963.03066
2020-11-17 07:00:00.000,16631.73,16774.99,16623.68,16750,3172.15716
2020-11-17 08:00:00.000,16750,16785.99,16683.75,16704.83,2870.542604
2020-11-17 09:00:00.000,16704.82,16755,16633.37,16659.11,2932.31801
2020-11-17 10:00:00.000,16659.11,16772.3,16648.76,16763.47,2890.80336
2020-11-17 11:00:00.000,16763.46,17000,16737.17,16995.06,8642.758583
2020-11-17 12:00:00.000,16994.11,17093.98,16935.09,17083.01,8085.432699
2020-11-17 13:00:00.000,17083.01,17095.98,16920,16947.38,5323.028577
2020-11-17 14:00:00.000,16947.39,17185.52,16930.48,17153.93,5900.061749
2020-11-17 15:00:00.000,17153.93,17373,17116,17322.19,8210.163232
2020-11-17 16:00:00.000,17321.55,17728.33,17231.53,17639.35,11425.51231
2020-11-17 17:00:00.000,17639.36,17858.82,17306,17808.66,12435.46726
2020-11-17 18:00:00.000,17808.67,17825,17583.26,17638.37,7888.581397
2020-11-17 19:00:00.000,17638.14,17747.93,17450,17685.22,6698.292877
2020-11-17 20:00:00.000,17685.23,17723.28,17617.42,17677.64,3004.196561
2020-11-17 21:00:00.000,17677.63,17704.94,17500,17624.15,3382.905947
2020-11-17 22:00:00.000,17624.15,17626.55,17456.52,17596.78,2493.570136
2020-11-17 23:00:00.000,17596.78,17710,17596.78,17659.38,3043.582459
2020-11-18 00:00:00.000,17659.38,17820,17601,17693.64,5133.737193
2020-11-18 01:00:00.000,17693.64,17739.43,17610,17739.42,2920.619225
2020-11-18 02:00:00.000,17739.43,17748.53,17640,17680.64,2887.141878
2020-11-18 03:00:00.000,17680.64,18067.21,17623.33,18030.71,6293.087409
2020-11-18 04:00:00.000,18030.7,18476.93,17950,18369.33,12402.41548
2020-11-18 05:00:00.000,18368.87,18369.33,17214.45,17547.55,14568.42725
2020-11-18 06:00:00.000,17760.02,17836.43,17740,17780.19,993.577738
2020-11-18 07:00:00.000,17780.19,18093.7,17651,18063.7,5974.525903
2020-11-18 08:00:00.000,18063.69,18260,18021.66,18211.02,7436.975046
2020-11-18 09:00:00.000,18211.01,18229.07,17853.01,18110,8154.849423
2020-11-18 10:00:00.000,18110.01,18257.14,17971.42,18250,4871.596856
2020-11-18 11:00:00.000,18250,18253,18005.44,18249.99,4532.261645
2020-11-18 12:00:00.000,18249.99,18250,17931,18024.03,4849.343084
2020-11-18 13:00:00.000,18024.04,18105.78,17792.04,17882.89,6256.207266
2020-11-18 14:00:00.000,17882.9,17959.15,17666,17683.11,5847.086598
2020-11-18 15:00:00.000,17683.56,17915.14,17271.02,17873.88,14884.39066
2020-11-18 16:00:00.000,17873.89,18000,17640,17793.71,7421.035964
2020-11-18 17:00:00.000,17793.71,17923.41,17700,17890.45,4384.111537
2020-11-18 18:00:00.000,17890.46,17963.33,17739.99,17775.92,3726.760244
2020-11-18 19:00:00.000,17775.91,17838.94,17553.8,17659.9,4560.571992
2020-11-18 20:00:00.000,17659.9,17741,17490,17642.93,4705.041227
2020-11-18 21:00:00.000,17642.92,17781.39,17586.62,17762.64,2939.841394
2020-11-18 22:00:00.000,17762.64,17855,17700,17806.03,2192.243119
2020-11-18 23:00:00.000,17806.04,17853.13,17673.09,17776.12,2972.01342
2020-11-19 00:00:00.000,17777.75,17817.87,17573.31,17763.05,3840.29718
2020-11-19 01:00:00.000,17763.04,17862.8,17679.36,17855.5,2319.707927
2020-11-19 02:00:00.000,17855.5,18058.58,17854.26,17928.65,4961.046422
2020-11-19 03:00:00.000,17929.07,17999.84,17842.11,17915.46,2904.158817
2020-11-19 04:00:00.000,17915.81,17921.97,17741.33,17844.73,2549.903422
2020-11-19 05:00:00.000,17844.73,17909.05,17712.36,17894.88,2575.083502
2020-11-19 06:00:00.000,17894.89,17907,17705,17750.31,2796.494479
2020-11-19 07:00:00.000,17750.62,17765.99,17590.7,17649.94,3465.707493
2020-11-19 08:00:00.000,17650.03,17723.81,17388.77,17533.42,6399.327551
2020-11-19 09:00:00.000,17533.43,17635.28,17335.65,17401.92,4964.280474
2020-11-19 10:00:00.000,17533.43,17635.28,17335.65,17401.92,4964.280474
2020-11-19 11:00:00.000,17533.43,17635.28,17335.65,17401.92,4964.280474
2020-11-19 12:00:00.000,17704.05,17712.69,17703.93,17710.5,3.759258
2020-11-19 13:00:00.000,17710.78,18006.83,17703.37,18000.56,6319.163785
2020-11-19 14:00:00.000,18000.56,18147,17842.79,18116.85,5826.291869
2020-11-19 15:00:00.000,18116.85,18179.8,18010,18045,5240.240834
2020-11-19 16:00:00.000,18045.01,18119.98,17909.4,18009.88,4905.977241
2020-11-19 17:00:00.000,18009.89,18040.02,17882.36,17969.4,2935.414543
2020-11-19 18:00:00.000,17969.29,18033.57,17905,17934.02,2565.613235
2020-11-19 19:00:00.000,17934.01,17972.22,17869.76,17955.8,2491.423538
2020-11-19 20:00:00.000,17955.79,18039.17,17904.14,18023.99,2386.779195
2020-11-19 21:00:00.000,18023.98,18100,17871.64,17928.48,3029.029823
2020-11-19 22:00:00.000,17928.55,17951.95,17854.57,17859.87,1769.135901
2020-11-19 23:00:00.000,17859.86,17892.52,17681.36,17805.74,4723.925541
2020-11-20 00:00:00.000,17802.81,17936.42,17753.8,17777.25,2446.130773
2020-11-20 01:00:00.000,17777.25,17967.49,17740.04,17960.39,2739.194311
2020-11-20 02:00:00.000,17960.39,18037.5,17916.74,17960.09,2887.290925
2020-11-20 03:00:00.000,17960.09,18023.03,17931.62,17955.06,2213.772531
2020-11-20 04:00:00.000,17955.06,18234,17941.66,18194.79,5089.809664
2020-11-20 05:00:00.000,18194.78,18225,18045.5,18129.99,2816.692881
2020-11-20 06:00:00.000,18129.99,18176.01,18060,18164.8,2507.950034
2020-11-20 07:00:00.000,18164.79,18404.68,18089.71,18212,5957.120317
2020-11-20 08:00:00.000,18210,18320,18143,18304.63,3955.544723
2020-11-20 09:00:00.000,18304.63,18360.68,18101.05,18173.01,3889.083235
2020-11-20 10:00:00.000,18173,18320,18130,18284.34,3078.348016
2020-11-20 11:00:00.000,18284.34,18345.53,18251.55,18263.5,2803.605734
2020-11-20 12:00:00.000,18263.69,18294.28,18152,18234.99,3403.218495
2020-11-20 13:00:00.000,18235,18289.43,18150.22,18242.84,3017.313417
2020-11-20 14:00:00.000,18243.01,18631,18241.01,18630.98,8233.995838
2020-11-20 15:00:00.000,18630.98,18739.9,18501.81,18668.56,7220.234162
2020-11-20 16:00:00.000,18668.56,18800,18625,18684.31,5754.18629
2020-11-20 17:00:00.000,18684.31,18707,18546.16,18684.92,4049.370164
2020-11-20 18:00:00.000,18684.92,18688.5,18401,18582.33,3962.222212
2020-11-20 19:00:00.000,18582.32,18662.65,18530,18627.38,2105.758696
2020-11-20 20:00:00.000,18627.57,18692.3,18562.16,18623.35,2264.549964
2020-11-20 21:00:00.000,18623.35,18647.42,18518.19,18580.26,2260.906408
2020-11-20 22:00:00.000,18580.25,18621.48,18473.94,18619.99,1746.579917
2020-11-20 23:00:00.000,18619.99,18740,18555.86,18655.67,2657.153194
2020-11-21 00:00:00.000,18744.08,18862.63,18713.39,18860.56,1992.474152
2020-11-21 01:00:00.000,18860.56,18909.29,18770.69,18830.42,3723.708654
2020-11-21 02:00:00.000,18830.45,18965.9,18629.61,18795.64,4244.755913
2020-11-21 03:00:00.000,18786.28,18813.74,18631,18659.48,2437.676588
2020-11-21 04:00:00.000,18659.47,18659.83,18444.74,18579.21,3842.028144
2020-11-21 05:00:00.000,18579.21,18680,18550.77,18652.44,1872.090898
2020-11-21 06:00:00.000,18652.44,18728.21,18600,18628.14,2215.161927
2020-11-21 07:00:00.000,18628.14,18739.76,18600.13,18669.99,2071.511643
2020-11-21 08:00:00.000,18670,18781.73,18661.99,18781.73,2700.980494
2020-11-21 09:00:00.000,18781.73,18783.76,18551,18609.99,3087.6599
2020-11-21 10:00:00.000,18610,18700,18563.32,18593.39,2263.315199
2020-11-21 11:00:00.000,18593.39,18649.35,18486.56,18531.06,2847.307523
2020-11-21 12:00:00.000,18531.06,18700,18308.58,18641.43,4444.80487
2020-11-21 13:00:00.000,18641.43,18824.68,18638.96,18794.82,4315.914045
2020-11-21 14:00:00.000,18794.82,18808.82,18638,18733.02,3886.223497
2020-11-21 15:00:00.000,18733.01,18820,18638.46,18790.01,3935.390363
2020-11-21 16:00:00.000,18790,18907.38,18665.86,18732.18,5606.020217
2020-11-21 17:00:00.000,18732.19,18764,18732.18,18740.88,60.111222
2020-11-21 18:00:00.000,18732.19,18764,18732.18,18740.88,60.111222
2020-11-21 19:00:00.000,18732.19,18764,18732.18,18740.88,60.111222
2020-11-21 20:00:00.000,18644.95,18673.14,18628.13,18652.09,241.144686
2020-11-21 21:00:00.000,18652.09,18700,18575.72,18654.26,1786.42563
2020-11-21 22:00:00.000,18654.27,18654.85,18525,18636.95,2161.03765
2020-11-21 23:00:00.000,18636.95,18745.47,18600,18703.8,2920.577059
2020-11-22 00:00:00.000,18703.8,18750,18635.8,18649.42,2299.373806
2020-11-22 01:00:00.000,18479.26,18576.15,18380,18398.57,3541.614295
2020-11-22 02:00:00.000,18479.26,18576.15,18380,18398.57,3541.614295
2020-11-22 03:00:00.000,18479.26,18576.15,18380,18398.57,3541.614295
2020-11-22 04:00:00.000,18481.25,18611,18430.68,18602.46,1136.167883
2020-11-22 05:00:00.000,18602.45,18605.96,18478.01,18517.31,1559.840195
2020-11-22 06:00:00.000,18517.31,18588.86,18400.3,18481.99,2206.752933
2020-11-22 07:00:00.000,18481.99,18511.55,18255.93,18498.31,3648.262488
2020-11-22 08:00:00.000,18498.31,18503.14,18185.86,18211.65,4029.651477
2020-11-22 09:00:00.000,18211.66,18419.71,18121,18379.07,4004.585235
2020-11-22 10:00:00.000,18379.06,18379.06,18051,18172.45,3764.873669
2020-11-22 11:00:00.000,18172.44,18218.81,17610.86,17887.82,9274.53096
2020-11-22 12:00:00.000,17891.76,18158.55,17820,18107.25,5916.456391
2020-11-22 13:00:00.000,18107.25,18240,18049.26,18196.37,3634.630973
2020-11-22 14:00:00.000,18196.36,18296.04,18142.21,18179.07,2890.917444
2020-11-22 15:00:00.000,18179.07,18333.52,18178.53,18307.03,2214.182324
2020-11-22 16:00:00.000,18179.07,18333.52,18178.53,18307.03,2214.182324
2020-11-22 17:00:00.000,18480,18480,18479.99,18480,0.808533
2020-11-22 18:00:00.000,18480,18630.03,18468.17,18504.89,3087.051764
2020-11-22 19:00:00.000,18504.89,18593.06,18487.52,18573.58,2107.346069
2020-11-22 20:00:00.000,18573.59,18683.77,18506,18547.99,3205.401152
2020-11-22 21:00:00.000,18568,18568,18567.04,18567.04,0.592432
2020-11-22 22:00:00.000,18567.05,18649,18517.5,18613.41,1505.653487
2020-11-22 23:00:00.000,18613.41,18623.37,18367.82,18435.08,4005.814193
2020-11-23 00:00:00.000,18413.88,18523.09,18165.86,18171.6,3327.766994
2020-11-23 01:00:00.000,18220.13,18255.95,18189.02,18209.51,316.96977
2020-11-23 02:00:00.000,18211.56,18349.05,18188.26,18210.5,2711.55614
2020-11-23 03:00:00.000,18210.49,18436.7,18180.14,18369,2749.246581
2020-11-23 04:00:00.000,18367.49,18515.45,18337.04,18461.19,2533.354311
2020-11-23 05:00:00.000,18461.19,18509.98,18381.14,18438.26,2310.646113
2020-11-23 06:00:00.000,18438.26,18520,18308,18520,3063.316519
2020-11-23 07:00:00.000,18519.99,18556.83,18428.39,18458.13,2479.156847
2020-11-23 08:00:00.000,18458.12,18660,18453.55,18575.01,3671.763866
2020-11-23 09:00:00.000,18575.01,18657.88,18534.12,18637.79,3067.799261
2020-11-23 10:00:00.000,18637.8,18766,18636.41,18747.04,3953.700762
2020-11-23 11:00:00.000,18747.03,18747.89,18560,18567.7,3571.353962
2020-11-23 12:00:00.000,18567.7,18640,18490,18633.58,1576.489395
2020-11-23 13:00:00.000,18421.25,18595,18374,18594.27,2898.403635
2020-11-23 14:00:00.000,18594.27,18700,18502.01,18530.07,4756.823554
2020-11-23 15:00:00.000,18530.32,18557.04,18222.22,18261.86,6315.687562
2020-11-23 16:00:00.000,18261.86,18410.55,18134.11,18370.73,4915.392019
2020-11-23 17:00:00.000,18376.61,18461.91,18323.06,18352.93,2960.862786
2020-11-23 18:00:00.000,18352.93,18418.62,18283.43,18348.32,2306.223393
2020-11-23 19:00:00.000,18346.23,18459.99,18300.1,18444.44,2292.226587
2020-11-23 20:00:00.000,18444.45,18485.01,18345.52,18379,2092.155288
2020-11-23 21:00:00.000,18373,18457.04,18326.08,18410.66,2869.519537
2020-11-23 22:00:00.000,18410.29,18472.27,18350,18415.7,1882.6731
2020-11-23 23:00:00.000,18415.71,18436.22,18262,18368,2843.703511
2020-11-24 00:00:00.000,18368.01,18382.06,18207.98,18367.54,3028.532945
2020-11-24 01:00:00.000,18367.54,18530,18334.71,18465.98,4001.985818
2020-11-24 02:00:00.000,18465.97,18483.65,18337.04,18337.04,2919.121145
2020-11-24 03:00:00.000,18337.04,18404.45,18303,18338.52,2330.202056
2020-11-24 04:00:00.000,18338.23,18448,18276.73,18441.19,3452.256274
2020-11-24 05:00:00.000,18441.19,18441.96,18290,18322.38,3368.045847
2020-11-24 06:00:00.000,18322.38,18394.23,18018,18393.34,5788.905128
2020-11-24 07:00:00.000,18394.31,18450,18360,18370.01,3379.636671
2020-11-24 08:00:00.000,18369.35,18615.84,18369.35,18613.8,4413.559429
2020-11-24 09:00:00.000,18613.8,19065,18552.2,18983.15,12901.14604
2020-11-24 10:00:00.000,18983.16,19100,18683.64,18885.47,8741.172312
2020-11-24 11:00:00.000,18886.99,19075.56,18810,19064.99,4318.984073
2020-11-24 12:00:00.000,19064.99,19247.86,18979.99,19176.06,8261.85669
2020-11-24 13:00:00.000,19176.05,19300,19092,19167.81,7264.520176
2020-11-24 14:00:00.000,19167.81,19389,19095,19371.78,5010.934469
2020-11-24 15:00:00.000,19384.43,19418.97,19220,19359.86,5540.526164
2020-11-24 16:00:00.000,19358.56,19410,19074.4,19296.22,6560.88356
2020-11-24 17:00:00.000,19296.14,19339.7,19138.49,19204.64,3498.253104
2020-11-24 18:00:00.000,19200.91,19262.97,19150,19253.07,2984.392644
2020-11-24 19:00:00.000,19254.42,19277.63,19160.01,19160.01,2252.079435
2020-11-24 20:00:00.000,19160.01,19248.28,18925.51,19057.68,4864.086479
2020-11-24 21:00:00.000,19057.69,19122.27,18842.31,18939.3,4030.315469
